PRODUCT,HOME PAGE,PRODUCT CATEGORY,PRODUCT DESCRIPTION,AFFILIATED GITHUB REPOSITORIES
OF1 Openfoil,https://www.facebook.com/Openfoil/,Sports and Recreational Equipment and Supplies and Accessories,Hydrofoils for kitesurf,ludopenfoil/OF1;ludopenfoil/OF2
Oggún iron horse tractor,http://thinkoggun.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,tractor,
open beam,http://www.openbeamusa.com/,Manufacturing Components and Supplies,aluminium profiles,
Open ECG,http://www.gammacardiosoft.it/openecg/getting_started.htm,Medical Equipment and Accessories and Supplies,electro-cardiograph,
Open Energy Monitor emonGLCD,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,,openenergymonitor/EmonGLCD
Open Energy Monitor emonPi,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,energy monitoring systems,openenergymonitor/emonpi;openenergymonitor/Hardware
Open Energy Monitor emonTH,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,,openenergymonitor/emonTH;openenergymonitor/emontx3;openenergymonitor/emonth2;openenergymonitor/emontx2;openenergymonitor/emontx-shield
Open Gigabot,https://re3d.org/gigabot/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
Open source beehives,http://opensourcebeehives.net/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,beehive,
Open Source metal 3D printer,http://www.appropedia.org/Open-source_metal_3-D_printer,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
open source roaster,https://caffedolcealchemia.com/open-source/,Domestic Appliances and Supplies and Consumer Electronic Products,coffee roaster,
Open Spin Microscopy,https://sites.google.com/site/openspinmicroscopy/,Laboratory and Measuring and Observing and Testing Equipment,SPIM/DSLM/OPT microscopes platform,
Open structures' OpenCargoBike,http://beta.openstructures.net/pages/14/structures/3,Commercial and Military and Private Vehicles and their Accessories and Components,cargo bike,
Open wheels,http://www.openwheels.cc/,Commercial and Military and Private Vehicles and their Accessories and Components,segway,
Open.Theremin,http://www.gaudi.ch/OpenTheremin/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Theremin,GaudiLabs/OpenTheremin_V3_Shield;GaudiLabs/OpenTheremin_Shield
OpenBCI,http://openbci.com,Information Technology Broadcasting and Telecommunications,Brain-computer interface platform,OpenBCI/Ganglion_Hardware_Design_Files;OpenBCI/V3_Hardware_Design_Files;OpenBCI/OpenBCI-V2hardware-DEPRECATED;OpenBCI/Ultracortex;OpenBCI/3D-printed-electrode
OpenBikeWorks' HubJohn,http://openbikeworks.blogspot.de/p/what.html,Commercial and Military and Private Vehicles and their Accessories and Components,Cargo bike,
OpenBugFarm,http://www.openbugfarm.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,bug farm kit,TinyFarms/OpenBugFarm
OpenDesk's Lean Desk,https://www.opendesk.cc/,Furniture and Furnishings,table,
OpenEV Charging Station,https://www.openevse.com/,Commercial and Military and Private Vehicles and their Accessories and Components,Electric Vehicle Charging Station Controller,
OpenEVSE,https://store.openevse.com/,Commercial and Military and Private Vehicles and their Accessories and Components,Electric vehicle charging station,OpenEVSE/Enclosures;OpenEVSE/OpenEVSE_EV_Simulator;OpenEVSE/DIY_OpenEVSE_PLUS;OpenEVSE/OpenEVSE_PLUS;OpenEVSE/OpenEVSE_LCD;OpenEVSE/OpenEVSE_LED
OpenFeeder,https://openfeeder.github.io/,Live Plant and Animal Material and Accessories and Supplies,bird automatic feeder,OpenFeeder/mechanics;OpenFeeder/electronics
OpenFeeder,https://www.sciencedirect.com/science/article/pii/S2468067216300050,Live Plant and Animal Material and Accessories and Supplies,bird automatic feeder,jinook0707/openfeeder
OpenFlexure Microscope,http://docubricks.com/viewer.jsp?id=1967334747077765120,Laboratory and Measuring and Observing and Testing Equipment,microscope,rwb27/openflexure_microscope;rwb27/openflexure_dissection_microscope;rwb27/openflexure_block_stage;rwb27/openflexure_nano_motor_controller;rwb27/openflexure_linearised_xy_stage
OpenKnit,http://openknit.org/,Industrial Manufacturing and Processing Machinery and Accessories,Knitting machine,g3rard/OpenKnit
Openmoko,http://wiki.openmoko.org/wiki/Main_Page,Information Technology Broadcasting and Telecommunications,smartphone,
OpenPCR,http://openpcr.org/,Laboratory and Measuring and Observing and Testing Equipment,PRC thermocycle,
OpenPipe,http://openpipe.cc/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Galician bagpipe,openpipelabs/midi-usb-shield-hardware;openpipelabs/openpipe-mozzi-shield;
OpenPnP-OpenBuilds,http://openpnp.org/,Industrial Manufacturing and Processing Machinery and Accessories,SMT pick and place machine,openpnp/openpnp-openbuilds
OpenQCM,http://openqcm.com/technology,Laboratory and Measuring and Observing and Testing Equipment,Quartz Crystal Microbalance,
OpenROV,http://www.openrov.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,submarine robot,OpenROV/openrov-hardware;OpenROV/openrov-electronics
OPenT,https://sites.google.com/site/openspinmicroscopy/home/opt,Medical Equipment and Accessories and Supplies,optical tomography device,
Opentrons,https://opentrons.com/,Laboratory and Measuring and Observing and Testing Equipment,pipetting robot,Opentrons/otone_hardware;Opentrons/opentrons-modules;Opentrons/Smoothieboard
OpenWaterbike,http://www.openwaterbike.com/,Sports and Recreational Equipment and Supplies and Accessories,pedal boat,
orbSWARM,http://orbswarm.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,fleet of autonomous spherical robots,
OScar,https://en.wikipedia.org/wiki/OScar,Commercial and Military and Private Vehicles and their Accessories and Components,car,
OSE LifeTrac 5,http://opensourceecology.org/wiki/LifeTrac_5,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,tractor,
osloom,http://www.osloom.org/,Industrial Manufacturing and Processing Machinery and Accessories,jacquard loom,
OSVehicle - Tabby evo,https://www.osvehicle.com/,Commercial and Military and Private Vehicles and their Accessories and Components,car,
OSVR-HDK2,http://www.osvr.org/hdk2.html,Information Technology Broadcasting and Telecommunications,Head-mounted display for virtual reality,OSVR/OSVR-HDK;OSVR/OSVR-Hardware-Accessories
OSWash,http://www.oswash.org/,Domestic Appliances and Supplies and Consumer Electronic Products,washing machine,
Pandora,http://pandorawiki.org/Main_Page,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,game console,
Parabolic solar hot water heater,http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater_des…,Distribution and Conditioning Systems and Equipment and Components,Parabolic solar hot water heater,
Parabolic solar hot water heater,http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater,Distribution and Conditioning Systems and Equipment and Components,hot water heater,
Photometric System for Enzymatic Nitrate Quantification,http://www.appropedia.org/Open-Source_Photometric_System_for_Enzymatic_Nitrate_…,Laboratory and Measuring and Observing and Testing Equipment,enzymatic nitrate quantification system,
piccolo,http://piccolo.cc/,Industrial Manufacturing and Processing Machinery and Accessories,pocket-sized CNC-bot,DiatomStudio/Piccolo
Pico Cross Flow,http://www.picocrossflow.com/,Power Generation and Distribution Machinery and Accessories,cross flow turbine,
Pigott wind turbine,http://scoraigwind.co.uk/,Power Generation and Distribution Machinery and Accessories,Wind Turbine,
PiKon,https://pikonic.com/,Printing and Photographic and Audio and Visual Equipment and Supplies,Telescope,
Pisteur solaire - Entropie,https://www.asso-entropie.fr/fr/,Domestic Appliances and Supplies and Consumer Electronic Products,solar tracker,
Plan B,https://ytec3d.com/plan-b/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
plants & machines,http://www.plantsandmachines.de/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,robotic indoor garden,
Plen,https://plen.jp/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,humanoid robot,plenprojectcompany/PLEN2;plenprojectcompany/plen-RS485Board;plenprojectcompany/plen-EdisonBoard;plenprojectcompany/plen-3DModel_Fusion360;plenprojectcompany/plen-ControlBoard;plenprojectcompany/plen-HeadBoard
Pointcast,https://github.com/Safecast/General/wiki/Safecast-Devices,Laboratory and Measuring and Observing and Testing Equipment,sensor device for environmental parameters,Safecast/Pointcast
POM,https://www.osvehicle.com/renaultpomsignup/,Commercial and Military and Private Vehicles and their Accessories and Components,mass vehicle,
Poppy,https://www.poppy-project.org/,Laboratory and Measuring and Observing and Testing Equipment,humanoid robot,poppy-project/poppy-humanoid;poppy-project/poppy-ergo-jr;poppy-project/poppy-ergo-starter;poppy-project/poppy-torso;poppy-project/pixl;poppy-project/Robotis-library;poppy-project/Poppy-basic-arms;poppy-project/Poppy-minimal-head-design;poppy-project/poppy-ergo;poppy-project/Poppy-lightweight-biped-legs;poppy-project/robot-support-toolbox;poppy-project/poppy-soft-starfish;poppy-project/poppy-soft-connector;poppy-project/poppy-6dof-right-arm;poppy-project/poppy-dragster-mini;poppy-project/poppy-4wheels-mini;poppy-project/poppy-multipod-mini;poppy-project/poppy-snake-mini;poppy-project/Poppy-multiarticulated-torso
Precious plastic,http://preciousplastic.com/,Industrial Manufacturing and Processing Machinery and Accessories,waste plastic recycling machines,
Prosthetic Hands,https://openbionics.org/affordableprosthetichands/,Medical Equipment and Accessories and Supplies,adaptive robot hands,OpenBionics/Prosthetic-Hands;OpenBionics/Robot-Hands
Protei,https://www.scoutbots.com/protei/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,shape shifting sailing robot,
Pupil,https://pupil-labs.com/,Laboratory and Measuring and Observing and Testing Equipment,head mounted mobile eye tracking platform,pupil-labs/pupil-hardware-diy
pwdr,http://pwdr.github.io/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,Pwdr/Pwdr-Model-0.1
Qrokee,http://www.qrokee.com/index_en.html,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,holographic tracing machine,
Raidlight Responsiv 3L,https://github.com/Raidlight/Projet-Pilote-Open-Source,sports and Recreational Equipment and Supplies and Accessories,Trail running backpack,Raidlight/Projet-Pilote-Open-Source
Raptor Hand,https://e-nable.fr/,Medical Equipment and Accessories and Supplies,hand prosthetics,
Rasa,http://www.riversimple.com/the-design-of-the-rasa/,Commercial and Military and Private Vehicles and their Accessories and Components,car,
rBot,https://rbotcnc.wordpress.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
Recyclebot,http://www.appropedia.org/Recyclebot_v2.3,Industrial Manufacturing and Processing Machinery and Accessories,waste plastic recycling machines,
RepRap Mendel,http://reprap.org/wiki/Mendel,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
Retr3D,http://maaphoo.github.io/Retr3d/,industrial Manufacturing and Processing Machinery and Accessories,3D printer made of retired materials,Maaphoo/Retr3d
RoboHand,https://www.thingiverse.com/robohand/about,Medical Equipment and Accessories and Supplies,prosthetic hand,
ROFI,http://www.projectbiped.com/prototypes/rofi,Laboratory and Measuring and Observing and Testing Equipment,robot,
SECU-3,http://secu-3.org/?lang=en,Commercial and Military and Private Vehicles and their Accessories and Components,Engine Management System - Ignition and fuel injection system,
Self Balancing Scooter,http://members.optusnet.com.au/~a4x4kiwi/scooter/,Commercial and Military and Private Vehicles and their Accessories and Components,segway,
Sensorica's PV characterization,http://www.sensorica.co/home/what-we-do/projects/pv-characterization,Laboratory and Measuring and Observing and Testing Equipment,System device for optical characterization of thin and transparent materials,
ShapeOko,http://www.shapeoko.com/wiki/,Industrial Manufacturing and Processing Machinery and Accessories,carving machine,shapeoko/ShapeOko;shapeoko/Shapeoko_2;shapeoko/Shapeoko_3;shapeoko/Shapeoko_Experimental
Shepard Test Stand,https://opendesignengine.net/,Laboratory and Measuring and Observing and Testing Equipment,Test stand for Estes rocket motors,
Shower loop,http://showerloop.org/,Domestic Appliances and Supplies and Consumer Electronic Products,Shower,
Shybo,http://www.sciencedirect.com/science/article/pii/S246806721730038X,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,low-anthropomorphic robot for children,
Solarcast,https://blog.safecast.org/2017/04/introducing-solarcast/,Laboratory and Measuring and Observing and Testing Equipment,sensor device for environmental parameters,Safecast/Solarcast;Safecast/SolarcastNano;Safecast/Safecast-Air
SolarFlower,http://solarflower.org/,Domestic Appliances and Supplies and Consumer Electronic Products,solar energy collector,
Solar-OSE,http://www.instructables.com/id/Solar-OSE-Solar-concentrator-for-steam-generati…,Domestic Appliances and Supplies and Consumer Electronic Products,solar concentrator,osefrance/SolarConcentrator
Sunzilla,http://www.sunzilla.de/,Power Generation and Distribution Machinery and Accessories,solar generator,
Syringe Pump,http://www.appropedia.org/Open-source_syringe_pump,Laboratory and Measuring and Observing and Testing Equipment,syringe pump,
Tantillus,http://tantillus.x10host.com/OldHome.html,Industrial Manufacturing and Processing Machinery and Accessories,portable 3D printer,Intrinsically-Sublime/Tantillus
Tea Maker,https://www.smarthomatic.org/devices/tea_maker.html,Domestic Appliances and Supplies and Consumer Electronic Products,home automation system,
The Fair Cap,http://faircap.org/,Cleaning Equipment and Supplies,water filtering bottle cap,
The Open Microscope,http://openlabtools.eng.cam.ac.uk/Instruments/Microscope/,Laboratory and Measuring and Observing and Testing Equipment,microscope,OpenLabTools/OpenLabTools;OpenLabTools/Instruments-MechanicalTester;OpenLabTools/Microscope;OpenLabTools/Resources-EnvironmentalChambers
The Spine,http://www.faradaymotion.com/hyperboard/,sports and Recreational Equipment and Supplies and Accessories,electric skateboard,
Thor,https://hackaday.io/project/12989-thor,Industrial Manufacturing and Processing Machinery and Accessories,Robotic arm,AngelLM/Thor
Thunderhead,https://github.com/TechforTrade/Thunderhead,Industrial Manufacturing and Processing Machinery and Accessories,Filament extruder,
Thymio,https://www.thymio.org/home-en:home,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,educational robot,
Tinker bike,http://www.jacklenniedesigner.com/tinker,Commercial and Military and Private Vehicles and their Accessories and Components,motorbike,
Tiny boy,http://www.tinyboy.net/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,HKCOTA/TinyBoy;HKCOTA/TinyBoy-2
Toolbox for Opto-Mechanical Components,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169832,Laboratory and Measuring and Observing and Testing Equipment,opto-mechanical component,
Turbidimeter,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4029670/,Laboratory and Measuring and Observing and Testing Equipment,water quality measuring device,wash4all/open-turbidimeter-project
Two-Stroke Diesel Engine,https://hackaday.io/project/10670-open-source-two-stroke-diesel-engine,commercial and Military and Private Vehicles and their Accessories and Components,diesel engine,
Tympan version A,https://tympan.org/,Medical Equipment and Accessories and Supplies,Design tools for the development of hearing aids,Tympan/Tympan_Rev_C_Hardware;Tympan/Tympan-rev-A-Hardware-OBSOLETE
uArm Metal,http://ufactory.cc/,Industrial Manufacturing and Processing Machinery and Accessories,desktop robotic arm,
Ultimaker 2,https://ultimaker.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,Ultimaker/Ultimaker2;Ultimaker/Ultimaker3;Ultimaker/Ultimaker3Extended;Ultimaker/Ultimaker2Plus;Ultimaker/Ultimaker2Go;Ultimaker/Ultimaker2ExtendedPlus;Ultimaker/Ultimaker2Extended;Ultimaker/HeatedBedUpgrade;Ultimaker/Ultimaker-Original-Plus;Ultimaker/UltimakerOriginal
Ultrascope,http://www.openspaceagency.com/ultrascope/,Printing and Photographic and Audio and Visual Equipment and Supplies,telescope,
Underwater Glider,https://www.wevolver.com/alex.williams/project/0d0cba1-main/description/,Commercial and Military and Private Vehicles and their Accessories and Components,autonomous underwater vehicle,
UPSat,https://upsat.gr/,Commercial and Military and Private Vehicles and their Accessories and Components,satellite,librespacefoundation/upsat-comms-hardware;librespacefoundation/upsat-structural;librespacefoundation/upsat-obc-hardware;librespacefoundation/HeaterBoard;librespacefoundation/UPSatDeploymentBoard;librespacefoundation/upsat-eps-hardware;librespacefoundation/upsat-su-breakout;librespacefoundation/upsat-adcs-hardware;librespacefoundation/four-to-one-balun;librespacefoundation/g5500-ardushield;librespacefoundation/lsf-kicad-libs
UV-mask,http://www.ohwr.org/projects/uv-mask/wiki,Medical Equipment and Accessories and Supplies,UV mask,
Uzebox,http://belogic.com/uzebox/downloads.htm,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,game console,
Vélo M²,https://ciklic.wordpress.com/velo-m%c2%b2/,Commercial and Military and Private Vehicles and their Accessories and Components,stackable modules for cargo bikes,
Volta Velocar,http://velocar.cc/,Commercial and Military and Private Vehicles and their Accessories and Components,velomobile,Volta-Plus/CAD.Velocar
VIA OpenBook,https://en.wikipedia.org/wiki/VIA_OpenBook,Information Technology Broadcasting and Telecommunications,laptop,fincham/via-openbook
Vitaprint extruder,https://github.com/symbiolab/Vitaprint_hardware,Laboratory and Measuring and Observing and Testing Equipment,syringe extruder,symbiolab/Vitaprint_hardware;symbiolab/Vitaprint_methods;symbiolab/Symbiolab_Centrifuge
Vito Robot,http://www.pacman-project.eu/,Laboratory and Measuring and Observing and Testing Equipment,Robot,CentroEPiaggio/vito-robot;CentroEPiaggio/kit-head;CentroEPiaggio/kuka-lwr;CentroEPiaggio/pisa-iit-soft-hand
Volta Bikair,https://volta.plus/,Commercial and Military and Private Vehicles and their Accessories and Components,motorbike,Volta-Plus/CAD.Bikair;Volta-Plus/CAD.Bikair_Archive_2018_03_27
Volta Motoroard,https://volta.plus/,Commercial and Military and Private Vehicles and their Accessories and Components,bicycle,Volta-Plus/CAD.MotoBoard
watering system SÖREN,https://gruenestadtplanung.wordpress.com/5_bewasserung/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,holiday watering system,
Waterzilla,http://www.skillsie.com/en/project/53/waterzilla-1-0,Cleaning Equipment and Supplies,portable water purification device,
Wikihouse,http://www.wikihouse.cc/,Structures and Building and Construction and Manufacturing Components and Supplies,house,wikihouseproject/Microhouse
Wikispeed car,http://wikispeed.org/car/,Commercial and Military and Private Vehicles and their Accessories and Components,car,
x0xb0x,http://www.ladyada.net/make/x0xb0x/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,synthesizer,
X-carve,https://www.inventables.com/technologies/x-carve,Industrial Manufacturing and Processing Machinery and Accessories,carving machine,inventables/x-carve-instructions
Xmaran,http://xmaran.org/tiki-index.php,sports and Recreational Equipment and Supplies and Accessories,sail cruiser,
XYZ ONESEATER,http://www.n55.dk/manuals/spaceframevehicles/spaceframevehicles.html,Commercial and Military and Private Vehicles and their Accessories and Components,bicycle,
ZenManEnergy,http://zenmanenergy.org/,Power Generation and Distribution Machinery and Accessories,Solar Steam electric power plant,zenmanenergy/solarsteamelectricity
Zoetrope,http://www.applied-sciences.net/library/zoetrope.php,Power Generation and Distribution Machinery and Accessories,wind turbine,
Zoybar,http://www.zoybar.net/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,guitar,
?Delta,http://www.reprap-france.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
